Stage 3AK Halo 2 Classic muzzle-effect tag evidence
================================================

Rows: 126
Weapons: 17
Component types: {'particle': 126}
Camera modes: {'0,independent of camera mode': 15, '2,only in third person': 58, '3,both first and third': 24, '1,only in first person': 29}

Weapon tags:
  objects\weapons\fixed\plasma_cannon\plasma_cannon
  objects\weapons\pistol\magnum\magnum
  objects\weapons\pistol\needler\needler
  objects\weapons\pistol\plasma_pistol\plasma_pistol
  objects\weapons\rifle\battle_rifle\battle_rifle
  objects\weapons\rifle\beam_rifle\beam_rifle
  objects\weapons\rifle\brute_plasma_rifle\brute_plasma_rifle
  objects\weapons\rifle\covenant_carbine\covenant_carbine
  objects\weapons\rifle\gpmg\gpmg
  objects\weapons\rifle\plasma_rifle\plasma_rifle
  objects\weapons\rifle\shotgun\shotgun
  objects\weapons\rifle\smg\smg
  objects\weapons\rifle\smg_silenced\smg_silenced
  objects\weapons\rifle\sniper_rifle\sniper_rifle
  objects\weapons\support_high\flak_cannon\flak_cannon
  objects\weapons\support_high\rocket_launcher\rocket_launcher
  objects\weapons\support_low\brute_shot\brute_shot

Battle rifle / magnum rows containing flash or smoke:
  objects\weapons\pistol\magnum\magnum | effects\objects\weapons\pistol\magnum\fire_bullet | muzzle_flash | effects\objects\weapons\rifle\battle_rifle\muzzle_flash | muzzle_flash | 2,only in third person | effects\bitmaps\weapons_fire\br_muzzle_flash_long
  objects\weapons\pistol\magnum\magnum | effects\objects\weapons\pistol\magnum\fire_bullet | muzzle_flash | effects\objects\weapons\rifle\battle_rifle\muzzle_flash | muzzle_flash | 3,both first and third | effects\bitmaps\weapons_fire\br_muzzle_flash_long
  objects\weapons\pistol\magnum\magnum | effects\objects\weapons\pistol\magnum\fire_bullet | muzzle_flash | effects\objects\weapons\rifle\battle_rifle\muzzle_flash | primary_trigger | 2,only in third person | effects\bitmaps\weapons_fire\br_muzzle_flash_long
  objects\weapons\pistol\magnum\magnum | effects\objects\weapons\pistol\magnum\fire_bullet | muzzle_flash_center | effects\objects\weapons\rifle\battle_rifle\muzzle_flash_center | primary_trigger | 1,only in first person | effects\bitmaps\weapons_fire\br_muzzle_flash_center
  objects\weapons\pistol\magnum\magnum | effects\objects\weapons\pistol\magnum\fire_bullet | muzzle_flash_center | effects\objects\weapons\rifle\battle_rifle\muzzle_flash_center | primary_trigger | 2,only in third person | effects\bitmaps\weapons_fire\br_muzzle_flash_center
  objects\weapons\pistol\magnum\magnum | effects\objects\weapons\pistol\magnum\fire_bullet | smoke | effects\objects\weapons\rifle\battle_rifle\smoke | primary_trigger | 3,both first and third | effects\bitmaps\smoke\smoke_warthog_gun
  objects\weapons\rifle\battle_rifle\battle_rifle | effects\objects\weapons\rifle\battle_rifle\fire_bullet | muzzle_flash | effects\objects\weapons\rifle\battle_rifle\muzzle_flash | muzzle_flash | 2,only in third person | effects\bitmaps\weapons_fire\br_muzzle_flash_long
  objects\weapons\rifle\battle_rifle\battle_rifle | effects\objects\weapons\rifle\battle_rifle\fire_bullet | muzzle_flash | effects\objects\weapons\rifle\battle_rifle\muzzle_flash | muzzle_flash | 3,both first and third | effects\bitmaps\weapons_fire\br_muzzle_flash_long
  objects\weapons\rifle\battle_rifle\battle_rifle | effects\objects\weapons\rifle\battle_rifle\fire_bullet | muzzle_flash | effects\objects\weapons\rifle\battle_rifle\muzzle_flash | primary_trigger | 2,only in third person | effects\bitmaps\weapons_fire\br_muzzle_flash_long
  objects\weapons\rifle\battle_rifle\battle_rifle | effects\objects\weapons\rifle\battle_rifle\fire_bullet | muzzle_flash_center | effects\objects\weapons\rifle\battle_rifle\muzzle_flash_center | primary_trigger | 1,only in first person | effects\bitmaps\weapons_fire\br_muzzle_flash_center
  objects\weapons\rifle\battle_rifle\battle_rifle | effects\objects\weapons\rifle\battle_rifle\fire_bullet | muzzle_flash_center | effects\objects\weapons\rifle\battle_rifle\muzzle_flash_center | primary_trigger | 2,only in third person | effects\bitmaps\weapons_fire\br_muzzle_flash_center
